,PM2.5,NO2,CO,SO2,O3,AQI
7304,31.9,15.54,0.99,7.55,13.17,76.0
7305,24.24,13.18,1.1,7.16,15.81,76.0
7306,19.48,11.66,1.09,6.89,14.36,70.0
7307,17.27,9.96,1.01,6.69,15.7,73.0
7308,12.95,10.23,0.9,6.74,14.86,62.0
7309,25.41,9.13,0.97,6.85,13.7,66.0
7310,24.99,8.88,1.06,6.58,16.87,81.0
7311,29.32,10.31,0.98,7.53,17.5,85.0
7312,24.75,10.58,1.06,5.86,11.95,74.0
7313,29.82,10.27,0.97,6.31,9.1,74.0
7314,29.52,11.35,1.06,6.08,9.33,73.0
7315,31.55,11.27,1.07,6.68,11.18,76.0
7316,35.22,11.22,0.97,5.85,12.59,75.0
7317,25.49,11.24,1.01,6.68,13.31,69.0
7318,26.74,10.97,1.05,5.6,14.98,71.0
7319,26.4,10.88,1.13,6.99,15.45,75.0
7320,35.36,11.02,1.13,6.21,18.63,78.0
7321,29.99,11.74,1.17,6.16,18.49,80.0
7322,30.49,13.48,1.06,6.44,19.34,78.0
7323,30.39,14.41,0.99,5.91,25.11,78.0
7324,37.24,13.77,1.01,5.05,26.4,80.0
7325,38.9,12.95,1.02,5.84,26.22,79.0
7326,38.07,13.52,1.08,6.29,17.59,82.0
7327,38.63,16.66,1.11,6.78,14.78,83.0
7328,42.78,15.19,1.02,6.36,21.36,75.0
7329,35.59,16.77,1.14,7.45,26.79,79.0
7330,38.39,18.05,1.13,6.51,13.48,77.0
7331,65.3,52.6,1.03,7.0,30.18,126.0
7332,51.8,34.91,0.92,7.02,18.9,150.0
7333,66.57,30.03,1.05,7.7,19.47,135.0
7334,66.85,29.99,1.01,6.68,35.41,145.0
7335,55.19,24.05,0.85,7.1,34.3,132.0
7336,44.66,13.84,1.04,5.75,32.88,107.0
7337,41.39,13.98,1.24,4.42,39.97,102.0
7338,39.71,13.64,0.76,4.99,35.56,88.0
7339,36.38,13.84,0.83,4.23,32.61,83.0
7340,22.72,13.92,0.9,5.18,28.16,76.0
7341,23.34,14.83,1.0,5.34,28.86,71.0
7342,27.06,14.39,1.22,4.63,27.46,80.0
7343,45.92,13.27,1.08,5.04,34.69,79.0
7344,47.34,11.77,1.07,7.08,38.11,113.0
7345,47.85,12.34,0.96,6.2,45.64,124.0
7346,48.62,12.94,1.05,7.3,51.3,131.0
7347,45.57,13.06,1.17,6.69,47.23,113.0
7348,74.16,13.81,1.23,7.55,42.45,132.0
7349,54.73,13.96,1.31,7.3,38.78,137.0
7350,65.19,14.2,1.03,7.43,51.03,141.0
7351,53.41,15.62,1.1,7.66,60.96,156.0
7352,45.73,10.86,0.89,7.58,67.66,148.0
7353,57.97,10.76,0.77,6.82,74.0,143.0
7354,58.15,11.26,1.22,8.53,79.9,161.0
7355,60.53,11.26,1.12,6.89,65.54,143.0
7356,52.59,11.21,0.92,8.24,70.18,153.0
7357,54.06,13.32,0.94,7.89,38.04,132.0
7358,42.32,17.56,1.07,7.13,47.78,94.0
7359,55.84,17.07,1.06,6.74,70.67,126.0
7360,47.85,14.7,1.11,6.49,57.18,119.0
7361,54.9,26.93,1.3,5.75,42.43,100.0
7362,51.79,27.66,1.31,4.02,57.29,116.0
7363,51.48,23.0,1.05,5.79,53.52,119.0
7364,37.78,24.04,1.05,3.78,47.65,110.0
7365,41.03,34.45,1.09,4.38,48.14,91.0
7366,53.31,23.57,1.06,4.57,39.39,89.0
7367,42.09,21.94,0.98,7.97,40.82,87.0
7368,56.12,24.69,1.0,9.62,25.3,80.0
7369,56.8,25.31,1.18,7.35,43.82,108.0
7370,41.22,19.57,0.99,10.2,43.0,91.0
7371,36.82,21.33,1.04,10.03,35.7,88.0
7372,36.7,22.3,1.1,6.91,37.37,92.0
7373,39.32,17.93,0.93,5.9,31.92,96.0
7374,33.86,18.25,1.16,3.82,42.43,109.0
7375,29.8,19.87,1.08,4.42,47.02,101.0
7376,103.16,25.81,1.08,4.58,43.43,129.0
7377,45.52,18.68,0.94,4.24,29.75,179.0
7378,35.11,29.01,0.86,3.91,15.31,69.0
7379,45.16,15.36,0.66,3.92,23.12,78.0
7380,59.22,21.16,0.79,4.82,18.98,106.0
7381,47.81,22.21,0.84,5.0,19.25,123.0
7382,33.28,20.68,0.95,4.13,38.58,125.0
7383,52.55,19.08,0.79,4.18,31.2,73.0
7384,92.83,19.12,0.82,7.28,13.47,174.0
7385,49.99,17.96,0.85,3.36,11.91,84.0
7386,97.96,18.91,0.93,3.2,6.92,134.0
7387,37.94,23.03,0.85,3.89,14.93,85.0
7388,48.12,16.99,0.75,4.1,23.7,77.0
7389,51.95,17.93,0.82,4.21,23.93,88.0
7390,45.61,16.8,0.8,3.77,25.99,92.0
7391,30.64,18.33,0.99,4.34,27.07,92.0
7392,36.62,23.57,0.92,4.83,24.91,76.0
7393,50.02,18.51,0.99,5.76,29.0,81.0
7394,34.54,15.18,0.98,5.32,26.49,94.0
7395,47.45,13.12,0.77,4.89,30.21,80.0
7396,40.19,16.5,0.9,4.61,36.35,99.0
7397,30.16,21.57,0.98,4.48,27.46,80.0
7398,43.75,22.9,0.98,4.94,16.08,77.0
7399,48.57,22.73,0.83,4.39,29.49,85.0
7400,30.57,18.13,0.74,6.77,26.57,74.0
7401,35.63,18.26,0.94,6.38,39.38,84.0
7402,28.74,16.17,0.84,4.55,32.68,87.0
7403,27.56,19.09,0.97,7.59,25.69,70.0
7404,31.04,18.11,0.85,9.25,25.26,73.0
7405,29.77,18.57,0.82,10.6,32.18,73.0
7406,45.13,17.75,0.88,8.65,28.09,94.0
7407,23.22,18.94,0.86,6.76,22.33,85.0
7408,25.94,20.83,0.84,6.32,29.16,66.0
7409,32.29,16.86,0.88,5.85,55.18,83.0
7410,28.07,15.56,0.8,6.45,44.99,77.0
7411,36.63,23.47,0.9,5.63,38.45,74.0
7412,33.19,20.61,0.83,5.57,66.13,114.0
7413,34.12,16.49,0.83,5.89,62.67,105.0
7414,51.08,22.26,0.91,5.95,58.91,129.0
7415,51.84,30.79,0.88,6.2,62.68,130.0
7416,42.23,33.02,0.78,6.2,67.28,126.0
7417,52.82,25.52,0.71,5.45,42.93,105.0
7418,26.19,23.39,0.7,6.21,52.98,110.0
7419,21.07,16.89,0.62,8.41,40.1,65.0
7420,24.99,17.69,1.05,6.47,44.3,84.0
7421,22.61,17.47,0.65,5.14,37.47,70.0
7422,22.66,16.78,0.64,8.7,48.65,74.0
7423,16.68,13.39,0.57,5.95,56.49,76.0
7424,18.65,13.7,0.61,6.14,56.7,112.0
7425,21.83,14.07,0.9,7.6,53.95,80.0
7426,25.51,14.06,0.88,8.55,60.52,106.0
7427,19.01,16.94,0.86,11.34,41.27,105.0
7428,26.43,17.24,0.89,10.24,37.5,110.0
7429,13.03,15.33,0.57,8.6,31.21,82.0
7430,13.2,12.65,0.55,5.96,37.43,69.0
7431,22.64,18.01,0.94,7.14,31.17,58.0
7432,27.06,19.07,1.04,9.73,22.56,68.0
7433,29.21,18.82,1.0,14.46,24.79,77.0
7434,31.43,16.93,0.71,7.08,26.59,82.0
7435,25.89,14.8,0.64,4.37,18.42,52.0
7436,17.58,13.98,0.58,6.04,31.27,48.0
7437,22.35,13.79,0.61,5.02,21.93,47.0
7438,17.46,17.31,0.62,6.22,35.29,57.0
7439,18.64,19.81,0.59,5.48,38.69,48.0
7440,20.57,15.76,0.62,5.43,51.83,104.0
7441,25.15,15.8,0.67,5.5,34.57,51.0
7442,22.87,14.85,0.73,6.61,59.16,101.0
7443,27.11,14.73,0.75,6.39,39.33,121.0
7444,26.91,14.12,0.78,5.87,40.6,122.0
7445,30.64,15.41,1.05,5.99,55.87,108.0
7446,29.69,17.05,1.0,6.07,49.45,100.0
7447,35.06,18.79,0.93,6.84,50.73,146.0
7448,22.29,18.59,0.82,7.16,42.75,70.0
7449,25.84,22.76,0.81,6.69,41.25,75.0
7450,26.37,13.94,0.78,6.17,44.92,105.0
7451,22.62,11.39,1.05,4.73,20.04,76.0
7452,37.51,13.31,0.85,6.02,36.98,76.0
7453,37.85,12.45,0.75,6.38,68.76,111.0
7454,39.26,12.23,0.86,6.34,61.37,150.0
7455,23.59,11.72,0.83,6.39,55.72,103.0
7456,27.36,11.32,0.71,6.64,59.95,78.0
7457,23.45,11.69,0.46,6.07,56.94,81.0
7458,20.82,10.29,0.64,6.12,58.37,89.0
7459,28.74,10.53,0.88,6.69,53.64,100.0
7460,22.59,11.14,0.92,6.3,54.32,96.0
7461,26.98,12.0,0.99,6.94,57.81,105.0
7462,23.18,12.44,1.15,7.09,49.51,95.0
7463,38.04,11.43,1.15,6.7,57.05,120.0
7464,33.44,13.74,0.83,5.97,53.35,106.0
7465,43.67,16.38,1.12,6.58,59.37,126.0
7466,61.94,12.87,0.76,6.28,58.54,135.0
7467,35.03,11.77,0.9,6.61,45.56,114.0
7468,16.9,10.73,0.86,6.19,28.38,93.0
7469,14.27,10.79,0.93,6.36,48.1,99.0
7470,17.76,10.05,0.89,7.13,44.14,103.0
7471,20.99,10.69,0.68,6.76,37.83,105.0
7472,25.87,9.1,0.88,6.47,39.05,116.0
7473,23.02,11.32,0.78,6.03,41.73,106.0
7474,41.82,13.2,0.84,5.99,64.23,109.0
7475,32.4,14.87,0.8,6.54,67.72,122.0
7476,31.1,13.87,0.83,6.78,57.6,110.0
7477,23.49,12.89,0.81,5.46,57.91,72.0
7478,47.4,15.4,0.63,5.71,58.15,78.0
7479,19.32,13.42,0.77,5.38,55.94,145.0
7480,58.64,24.13,0.75,5.58,63.42,108.0
7481,36.56,19.29,0.81,6.55,63.92,141.0
7482,24.5,21.5,0.87,5.6,52.84,114.0
7483,21.13,20.03,0.8,5.86,46.63,92.0
7484,21.2,12.98,0.76,5.86,47.37,87.0
7485,16.34,13.05,0.56,6.25,48.3,92.0
7486,14.93,12.82,0.67,6.08,52.17,89.0
7487,21.14,10.65,0.61,5.94,48.79,86.0
7488,20.33,14.28,0.68,5.98,42.02,75.0
7489,17.58,13.95,0.68,6.39,31.95,64.0
7490,30.95,14.72,0.81,6.92,29.34,61.0
7491,32.0,13.39,0.77,5.46,30.63,80.0
7492,31.76,16.52,0.6,5.72,29.19,75.0
7493,35.03,15.91,0.87,5.7,32.64,73.0
7494,26.55,14.07,0.85,6.7,27.49,71.0
7495,28.47,15.97,0.85,5.56,28.67,69.0
7496,40.0,13.91,0.9,5.86,36.29,81.0
7497,35.34,22.06,0.92,8.83,33.34,67.0
7498,46.48,29.32,0.95,8.14,32.03,86.0
7499,95.49,17.79,0.73,9.38,30.06,121.0
7500,153.73,18.36,1.34,13.94,32.75,306.0
7501,54.13,26.17,1.42,12.81,27.69,208.0
7502,31.22,33.68,0.8,8.58,33.76,83.0
7503,34.65,28.92,0.78,7.21,28.51,84.0
7504,87.99,27.43,0.99,6.61,30.92,141.0
7505,40.78,22.47,1.04,7.58,29.3,133.0
7506,34.45,15.48,0.71,6.82,30.83,76.0
7507,70.95,16.78,0.87,6.92,36.51,91.0
7508,115.35,19.41,0.98,8.77,44.21,222.0
7509,98.83,19.12,1.08,8.17,46.2,261.0
7510,105.94,18.98,1.09,7.9,45.94,229.0
7511,121.43,18.15,1.04,7.08,47.64,273.0
7512,142.9,17.94,0.96,7.75,55.69,294.0
7513,96.8,13.83,0.86,5.4,53.69,253.0
7514,93.13,13.01,0.98,5.46,53.81,230.0
7515,61.45,14.86,0.82,8.85,43.01,192.0
7516,31.32,15.61,0.54,8.42,31.9,77.0
7517,37.23,13.89,0.52,7.38,41.66,76.0
7518,19.18,11.17,0.47,6.06,43.38,92.0
7519,21.99,15.3,0.52,7.39,38.96,84.0
7520,44.91,14.58,0.54,5.87,38.12,57.0
7521,56.9,14.19,0.53,6.7,51.76,122.0
7522,26.91,11.86,0.46,4.97,29.15,90.0
7523,28.52,11.17,0.55,4.67,28.85,63.0
7524,20.95,10.0,0.46,5.58,22.78,47.0
7525,33.55,10.78,0.47,8.18,27.28,56.0
7526,31.16,10.19,0.46,7.89,27.26,60.0
7527,46.05,15.6,0.47,8.55,23.1,64.0
7528,59.64,12.43,0.49,7.4,33.32,110.0
7529,44.81,12.6,0.47,5.42,31.05,86.0
7530,53.33,21.97,0.52,8.19,33.72,77.0
7531,37.8,12.54,0.53,10.19,39.18,80.0
7532,30.56,20.28,0.52,7.09,32.91,63.0
7533,21.08,10.09,0.45,9.47,27.3,53.0
7534,18.45,12.09,0.38,6.84,31.58,48.0
7535,17.79,12.66,0.47,6.93,33.27,60.0
7536,21.17,11.51,0.44,8.1,23.57,49.0
7537,36.17,12.03,0.54,5.45,26.08,56.0
7538,37.56,11.2,0.52,7.67,34.43,71.0
7539,62.41,11.1,0.44,7.47,33.57,93.0
7540,53.68,13.29,0.55,7.21,33.97,107.0
7541,34.82,15.86,0.91,6.22,20.01,76.0
7542,35.41,21.19,0.93,5.71,20.11,69.0
7543,27.57,26.96,0.71,7.03,19.98,61.0
7544,37.72,19.62,0.6,7.23,20.15,56.0
7545,36.55,23.21,0.73,6.47,24.04,72.0
7546,27.78,16.54,0.54,6.08,24.0,62.0
7547,34.16,18.49,0.56,10.79,22.78,52.0
7548,40.78,21.13,0.72,13.79,22.61,68.0
7549,35.6,19.49,0.64,7.5,26.83,70.0
7550,31.23,18.27,0.7,8.23,26.19,59.0
7551,44.04,17.87,0.53,6.74,35.26,62.0
7552,48.07,17.69,0.52,8.7,29.67,92.0
7553,52.28,16.88,0.53,8.95,33.87,83.0
7554,65.45,16.87,0.66,8.04,36.82,106.0
7555,72.57,18.47,0.69,13.49,33.86,126.0
7556,57.74,16.14,0.6,17.17,38.89,134.0
7557,52.75,19.05,0.69,7.07,32.21,92.0
7558,53.51,19.46,0.6,7.88,28.38,99.0
7559,54.37,19.74,0.75,9.79,33.18,99.0
7560,58.43,20.28,0.72,18.7,27.5,110.0
7561,31.88,17.66,0.54,13.18,24.11,77.0
7562,36.94,20.27,0.65,11.45,28.28,65.0
7563,52.48,14.61,0.62,8.48,33.22,92.0
7564,38.74,14.2,0.57,10.6,35.08,83.0
7565,45.49,15.44,0.61,13.03,36.95,84.0
7566,28.25,12.66,0.65,12.44,24.79,70.0
7567,27.59,11.47,0.76,7.0,21.31,57.0
7568,32.16,10.95,0.97,10.2,25.52,74.0
7569,30.49,11.49,0.87,8.4,28.4,64.0
7570,23.37,8.69,0.77,7.45,30.88,62.0
7571,19.45,10.41,0.83,8.12,25.0,61.0
7572,33.54,12.16,0.55,19.3,28.97,55.0
7573,42.22,17.3,0.55,21.18,29.73,73.0
7574,42.16,17.47,0.78,17.91,27.67,79.0
7575,40.76,17.3,0.77,9.65,28.3,74.0
7576,39.81,18.69,0.79,10.03,27.22,72.0
7577,58.38,14.35,0.85,8.13,32.45,83.0
7578,74.12,16.68,0.88,17.51,33.52,140.0
7579,122.88,20.24,1.1,23.68,35.37,230.0
7580,48.06,13.76,0.65,17.7,33.57,168.0
7581,34.09,12.32,0.65,19.88,33.34,74.0
7582,35.33,11.1,0.7,22.76,26.76,62.0
7583,28.67,10.68,0.84,27.29,29.02,65.0
7584,31.17,17.08,0.78,23.09,26.29,67.0
7585,37.66,23.7,0.88,17.54,26.38,69.0
7586,44.91,22.62,0.8,18.22,31.09,85.0
7587,47.95,20.03,0.89,12.25,34.26,93.0
7588,59.95,16.9,0.87,17.79,34.64,104.0
7589,62.34,24.68,0.97,19.6,32.88,123.0
7590,50.48,20.2,0.9,14.06,34.13,110.0
7591,41.74,16.43,0.9,10.3,33.78,87.0
7592,47.26,18.37,1.08,8.09,31.54,78.0
7593,53.66,17.4,1.11,8.18,33.41,85.0
7594,52.29,14.74,1.02,8.01,26.05,84.0
7595,43.82,14.87,0.94,7.71,21.78,87.0
7596,36.56,14.02,1.09,9.02,32.79,78.0
7597,32.4,13.12,0.86,9.86,28.75,63.0
7598,30.58,12.12,0.77,15.74,23.73,55.0
7599,37.52,13.74,0.88,16.44,20.76,63.0
7600,39.6,10.92,0.88,16.41,26.69,74.0
7601,39.93,13.26,0.84,12.91,30.7,94.0
7602,40.05,19.32,0.91,8.57,33.97,89.0
7603,36.32,14.12,0.78,8.19,27.6,75.0
7604,28.45,10.61,0.77,8.97,29.24,64.0
7605,28.1,8.77,0.8,13.16,31.94,61.0
7606,35.41,10.09,0.73,9.11,34.11,58.0
7607,29.12,19.96,0.84,10.31,28.62,69.0
7608,32.17,22.0,0.86,10.75,30.14,81.0
7609,49.48,18.01,0.93,17.74,23.31,93.0
7610,56.85,17.3,1.02,18.01,37.77,118.0
7611,54.82,17.74,0.9,13.03,31.92,121.0
7612,35.13,12.71,0.78,13.14,21.95,82.0
7613,34.25,13.64,0.77,13.37,18.31,72.0
7614,41.49,18.11,0.96,9.15,24.7,85.0
7615,42.95,14.71,0.77,15.05,24.71,84.0
7616,35.52,14.09,0.67,19.39,27.14,77.0
7617,38.88,19.91,0.83,8.47,16.21,75.0
7618,29.2,8.63,0.86,8.51,20.66,76.0
7619,28.75,8.88,0.72,18.19,26.85,65.0
7620,31.07,10.95,0.97,11.57,23.61,77.0
7621,33.9,12.69,0.9,11.02,28.52,81.0
7622,39.25,8.88,0.58,7.63,39.14,84.0
7623,42.97,8.7,0.67,8.79,31.47,83.0
7624,33.08,11.08,0.77,16.07,36.16,75.0
7625,36.15,14.62,0.69,19.12,38.15,72.0
7626,35.99,9.2,0.55,11.18,50.11,80.0
7627,43.6,13.01,0.66,18.07,26.4,76.0
7628,42.16,16.26,0.64,17.71,43.88,96.0
7629,33.29,15.71,0.7,6.97,34.39,84.0
7630,26.69,14.04,0.74,6.12,20.27,77.0
7631,24.95,9.72,0.75,6.52,21.65,61.0
7632,30.94,10.66,0.65,4.53,24.05,69.0
7633,21.85,6.21,0.62,6.52,21.36,57.0
7634,25.93,8.54,0.71,5.87,20.12,65.0
7635,27.37,10.56,0.55,5.51,27.37,61.0
7636,16.69,7.98,0.63,8.56,34.46,76.0
7637,24.94,8.75,0.74,5.64,29.98,65.0
7638,35.65,16.97,0.96,5.6,21.73,72.0
7639,39.29,15.67,0.7,13.21,21.6,74.0
7640,38.48,10.34,0.55,14.94,30.14,79.0
7641,33.26,10.44,0.86,19.01,21.02,66.0
7642,41.56,9.17,0.86,7.6,30.61,76.0
7643,39.41,8.1,0.87,5.75,49.4,92.0
7644,44.73,10.09,0.87,5.81,40.15,88.0
7645,32.68,8.56,0.91,5.55,31.17,95.0
7646,29.1,8.49,0.97,5.84,45.38,80.0
7647,39.42,5.39,0.85,4.84,46.53,71.0
7648,31.91,7.85,0.94,5.93,31.28,73.0
7649,24.22,6.91,0.61,5.83,35.18,57.0
7650,22.43,4.38,0.65,5.04,37.16,58.0
7651,31.57,7.22,0.55,6.3,36.81,54.0
7652,27.6,4.85,0.51,5.09,33.97,59.0
7653,34.81,4.91,0.56,4.41,16.33,55.0
7654,26.79,7.21,0.52,6.88,34.65,53.0
7655,29.31,9.78,0.52,5.79,33.94,50.0
7656,31.56,8.57,0.51,6.26,35.24,60.0
7657,32.94,10.39,0.62,5.54,36.35,75.0
7658,31.17,8.54,0.61,4.94,37.84,74.0
7659,24.81,7.25,0.59,5.22,38.03,72.0
7660,20.77,7.11,0.58,4.61,38.31,67.0
7661,21.59,7.27,0.55,4.96,37.64,66.0
7662,14.27,9.43,0.61,4.12,32.83,57.0
7663,11.9,9.57,0.59,4.57,30.45,55.0
7664,14.77,7.9,0.57,4.13,34.11,55.0
7665,14.71,12.74,0.57,4.78,32.83,55.0
7666,41.02,12.87,0.56,7.49,37.08,80.0
7667,15.66,11.18,0.57,11.31,30.16,60.0
7668,14.86,10.38,0.65,7.11,33.51,59.0
7669,17.95,12.1,0.66,7.13,36.84,64.0
7670,17.87,9.58,0.59,5.96,41.74,65.0
7671,14.64,8.34,0.59,6.13,36.82,62.0
7672,20.3,8.1,0.61,5.2,35.94,65.0
7673,8.43,5.33,0.58,5.42,33.55,65.0
7674,8.94,7.29,0.6,5.2,33.46,56.0
7675,8.1,5.34,0.58,4.49,37.03,59.0
7676,9.71,4.08,0.55,5.2,35.57,59.0
7677,10.67,4.48,0.64,4.84,38.09,61.0
7678,12.65,8.04,0.58,4.83,36.05,60.0
7679,8.06,11.64,0.59,4.69,34.28,56.0
7680,8.08,10.61,0.66,4.44,37.53,58.0
7681,10.46,11.07,0.68,4.79,41.7,67.0
7682,10.76,12.01,0.78,6.89,34.53,66.0
7683,10.46,6.92,0.75,4.29,37.34,60.0
7684,6.55,5.65,0.7,4.57,38.1,68.0
7685,11.11,6.85,0.68,4.4,45.0,69.0
7686,10.39,11.18,0.67,4.74,42.2,70.0
7687,14.13,5.39,0.73,4.43,50.88,71.0
7688,13.08,4.25,0.7,3.96,46.97,70.0
7689,11.67,3.73,0.75,4.47,45.9,71.0
7690,7.03,4.1,0.7,4.61,41.28,66.0
7691,19.68,4.13,0.75,3.61,42.79,81.0
7692,10.11,5.59,0.69,6.99,47.7,78.0
7693,11.23,5.48,0.76,3.98,43.98,73.0
7694,11.72,5.17,0.72,4.85,48.61,76.0
7695,9.99,4.57,0.69,3.53,42.92,65.0
7696,9.64,5.09,0.72,3.92,46.44,69.0
7697,8.36,5.29,0.71,4.54,40.83,66.0
7698,8.82,5.42,0.72,4.63,45.26,68.0
7699,15.57,5.26,0.66,4.34,43.23,69.0
7700,8.72,7.32,0.7,4.55,48.56,77.0
7701,20.25,10.11,0.83,4.12,43.18,70.0
7702,28.71,5.45,0.84,4.68,38.92,82.0
7703,10.99,8.16,0.7,4.13,39.6,68.0
7704,18.49,8.74,1.06,4.49,43.39,76.0
7705,28.06,15.18,0.93,5.0,48.74,82.0
7706,30.39,14.36,1.01,3.87,46.54,90.0
7707,27.01,12.19,1.01,5.66,57.0,92.0
7708,23.02,11.32,0.95,6.39,60.89,102.0
7709,21.24,10.08,0.84,7.14,46.91,77.0
7710,22.78,9.37,1.12,6.79,49.94,81.0
7711,25.2,9.59,1.01,6.77,49.76,79.0
7712,27.82,8.96,1.0,6.44,41.21,79.0
7713,20.0,9.65,1.07,7.23,39.81,77.0
7714,31.03,10.58,1.12,6.1,38.64,79.0
7715,38.3,13.54,1.11,6.54,57.6,112.0
7716,33.99,9.69,0.94,5.44,62.0,105.0
7717,18.85,7.97,1.02,4.8,47.36,88.0
7718,36.15,10.07,1.16,7.27,49.45,101.0
7719,18.83,9.24,1.07,6.57,53.61,95.0
7720,20.61,9.41,1.01,4.04,59.22,76.0
7721,18.5,8.64,1.05,4.05,60.66,99.0
7722,18.53,9.51,1.09,5.31,55.1,81.0
7723,40.73,10.97,1.17,5.12,52.89,92.0
7724,20.52,12.19,1.17,5.35,56.57,128.0
7725,23.04,12.62,1.16,6.34,46.75,85.0
7726,22.43,16.08,0.96,5.45,55.54,87.0
7727,30.42,13.97,0.83,6.85,41.46,80.0
7728,26.37,11.45,1.21,5.45,46.53,106.0
7729,104.45,13.24,1.2,6.83,52.79,169.0
7730,20.76,11.16,1.01,5.77,51.41,112.0
7731,20.17,14.53,1.03,4.18,52.51,80.0
7732,19.34,11.06,1.17,6.57,51.3,79.0
7733,24.1,12.26,1.18,4.44,56.23,86.0
7734,32.37,15.03,1.08,7.76,53.18,96.0
7735,23.89,17.22,1.21,9.99,73.43,112.0
7736,29.8,15.56,1.05,6.45,52.41,109.0
7737,89.92,14.48,1.12,5.5,61.97,152.0
7738,26.53,13.11,1.08,5.53,59.9,140.0
7739,23.55,8.94,1.12,6.66,71.42,106.0
7740,18.95,11.11,1.13,8.1,69.77,109.0
7741,28.83,9.57,1.07,6.32,70.18,102.0
7742,23.13,10.74,1.1,7.92,69.8,108.0
7743,23.75,7.94,1.14,5.55,66.85,95.0
7744,26.42,12.96,1.1,7.29,68.51,95.0
7745,25.93,10.0,0.76,6.48,77.45,98.0
7746,21.3,9.69,0.96,6.62,62.57,104.0
7747,24.14,12.38,1.05,7.5,68.75,110.0
7748,15.95,10.72,1.02,9.23,48.37,92.0
7749,21.57,4.95,1.14,9.75,25.46,65.0
7750,25.27,5.35,1.18,10.92,23.45,66.0
7751,30.04,6.23,1.15,10.51,17.24,60.0
7752,24.54,4.1,1.11,9.0,22.96,62.0
7753,33.9,4.63,1.2,10.29,21.44,64.0
7754,52.45,4.83,1.29,13.17,21.6,76.0
7755,41.86,5.13,1.23,10.78,26.17,82.0
7756,31.96,8.43,1.06,10.19,24.67,68.0
7757,25.27,9.76,1.13,12.64,24.69,67.0
7758,14.62,7.23,0.92,9.3,29.76,58.0
7759,31.72,9.86,1.01,10.14,25.1,53.0
7760,45.61,8.76,1.07,12.19,23.55,73.0
7761,47.61,9.09,1.08,11.53,22.5,75.0
7762,40.11,8.03,1.09,12.98,20.05,72.0
7763,40.07,7.6,1.09,11.29,22.67,66.0
7764,39.21,7.64,1.05,11.11,24.46,68.0
7765,24.28,5.44,0.91,9.87,23.45,56.0
7766,25.21,7.22,0.89,9.53,21.47,46.0
7767,32.92,8.87,1.13,12.05,21.03,61.0
7768,32.66,8.66,1.14,10.79,16.94,64.0
7769,40.89,9.57,1.11,10.44,16.05,64.0
7770,31.52,7.96,1.19,10.58,17.62,70.0
7771,34.24,7.25,1.29,12.44,18.07,78.0
7772,18.28,5.0,1.02,9.08,17.73,64.0
7773,20.57,9.03,1.08,9.95,18.84,57.0
7774,22.24,16.56,1.1,9.17,15.45,60.0
7775,32.66,16.06,1.12,10.15,20.99,60.0
7776,38.05,18.12,1.16,9.78,21.53,62.0
7777,43.69,16.21,1.21,9.97,15.25,70.0
7778,33.18,16.49,1.2,9.32,17.25,68.0
7779,20.3,15.35,1.08,8.76,16.49,58.0
7780,25.52,15.81,1.17,10.05,23.05,61.0
7781,33.77,16.19,1.11,9.86,20.52,67.0
7782,26.0,16.04,1.03,9.67,20.58,59.0
7783,23.53,14.15,1.34,9.47,22.82,75.0
7784,18.46,14.24,1.28,9.1,21.57,67.0
7785,24.63,14.46,1.33,9.93,21.48,71.0
7786,28.19,14.71,1.32,9.12,21.14,71.0
7787,29.67,15.24,1.34,9.24,22.49,74.0
7788,22.93,14.95,1.36,9.29,22.83,73.0
7789,42.15,14.55,1.41,9.82,23.49,77.0
7790,33.16,13.11,1.3,8.54,25.3,77.0
7791,37.3,17.11,1.43,9.65,20.4,76.0
7792,36.5,14.28,1.4,9.56,18.9,80.0
7793,46.54,15.3,1.47,9.95,19.73,80.0
7794,30.42,14.59,1.4,9.48,19.32,78.0
7795,32.04,13.03,1.47,9.52,17.73,79.0
7796,17.83,11.43,1.42,8.84,18.86,78.0
7797,8.99,10.06,1.3,8.41,18.23,66.0
7798,16.17,10.12,1.4,8.92,17.98,72.0
7799,26.24,10.66,1.53,9.18,15.36,81.0
7800,27.31,9.81,1.48,9.88,11.47,85.0
7801,13.02,7.31,1.3,9.44,21.12,73.0
7802,16.04,6.16,1.38,9.54,21.33,76.0
7803,17.98,5.97,1.32,8.38,18.33,78.0
7804,23.38,7.36,1.33,8.69,13.68,69.0
7805,30.14,8.29,1.37,8.93,17.27,73.0
7806,27.15,8.65,1.47,9.08,21.6,79.0
7807,18.39,6.9,1.32,8.27,23.87,77.0
7808,22.4,7.83,1.37,8.48,18.16,75.0
7809,34.0,8.4,1.46,8.93,15.78,78.0
7810,20.52,7.08,1.38,8.42,17.08,72.0
7811,25.72,8.11,1.45,8.95,17.0,76.0
7812,35.3,8.84,1.48,8.77,16.9,80.0
7813,26.08,7.94,1.48,8.83,15.24,78.0
7814,23.94,7.75,1.44,9.55,13.29,79.0
7815,24.59,7.15,1.45,9.78,14.73,75.0
7816,26.58,7.44,1.51,10.3,18.66,80.0
7817,12.12,6.65,1.38,8.85,17.4,73.0
7818,18.07,6.63,1.44,9.4,20.4,78.0
7819,18.29,7.67,1.58,9.69,24.99,89.0
7820,14.18,7.81,1.51,8.63,18.18,87.0
