PM2.5,NO2,CO,SO2,O3,AQI
76.18,17.75,2.04,10.84,32.23,157.0
77.16,17.68,2.32,11.67,33.71,172.0
83.72,20.08,2.59,14.01,32.66,201.0
68.41,20.66,1.8,13.46,33.28,169.0
73.86,21.36,7.39,13.24,30.81,186.0
70.58,17.94,20.62,15.31,29.69,290.0
70.61,20.14,2.19,13.9,30.78,193.0
71.19,20.02,1.84,14.55,28.04,164.0
69.56,20.37,2.22,11.02,30.14,187.0
68.72,19.66,1.99,15.11,28.23,160.0
67.95,13.66,2.76,10.39,40.63,207.0
59.59,14.72,1.89,13.92,36.19,169.0
62.54,19.45,8.49,7.05,31.75,208.0
61.7,20.32,8.59,6.71,33.56,230.0
65.54,19.39,1.89,9.44,36.38,146.0
53.35,20.42,2.54,8.74,35.64,188.0
59.2,17.26,2.26,9.23,32.25,191.0
57.02,18.65,2.39,9.08,30.0,189.0
53.75,18.59,2.13,8.02,32.51,154.0
48.36,19.18,2.63,7.56,30.9,190.0
40.7,19.23,1.47,10.39,28.57,104.0
36.72,18.96,2.31,10.8,30.88,132.0
42.94,18.58,1.58,11.47,31.69,100.0
47.23,18.89,1.4,7.34,28.35,126.0
81.77,26.1,2.61,11.97,32.5,141.0
83.64,18.19,1.93,14.1,38.29,210.0
53.69,20.33,1.43,11.06,31.79,102.0
47.88,19.16,1.31,14.62,29.31,92.0
57.59,18.92,2.16,12.57,24.5,123.0
51.55,18.75,1.56,11.53,31.29,143.0
50.58,19.44,2.43,10.73,30.81,144.0
49.89,19.47,2.28,13.85,29.26,141.0
56.67,19.64,1.79,16.07,30.59,106.0
85.39,29.71,4.08,16.06,29.3,195.0
70.17,15.44,2.12,22.81,18.06,194.0
49.45,14.52,1.56,16.03,16.74,98.0
64.89,15.17,1.33,22.46,19.37,120.0
59.69,16.22,1.41,19.41,16.56,112.0
49.27,14.74,2.89,11.0,12.61,189.0
56.12,14.52,1.27,11.79,14.3,100.0
63.11,15.11,2.56,12.75,11.84,145.0
55.12,15.08,1.35,12.69,14.38,123.0
54.41,14.92,1.11,12.13,15.58,96.0
61.65,15.12,1.02,12.74,16.66,96.0
53.49,14.57,1.06,11.88,14.3,106.0
58.42,14.41,1.17,9.36,13.79,102.0
57.52,15.55,1.42,13.1,15.16,121.0
51.29,14.77,1.02,12.76,13.02,96.0
58.79,16.06,1.0,15.0,22.01,111.0
63.39,15.16,1.35,11.61,20.54,129.0
66.98,16.15,1.26,14.04,12.83,106.0
69.54,15.61,1.19,12.82,13.74,123.0
64.9,19.19,1.78,13.55,15.53,176.0
43.12,13.87,1.15,13.4,15.55,91.0
39.93,14.15,4.88,19.33,12.97,165.0
33.26,14.71,1.12,14.34,10.11,108.0
40.27,14.15,1.95,13.4,12.72,119.0
46.96,13.55,1.48,11.86,13.35,98.0
39.91,13.23,1.24,13.06,16.24,100.0
39.65,12.82,1.94,12.83,12.59,127.0
45.16,13.19,1.54,14.31,10.77,100.0
43.58,14.18,2.19,14.6,11.95,146.0
37.62,16.1,1.54,14.9,18.81,112.0
41.0,15.66,1.43,14.02,20.96,97.0
32.37,16.34,1.21,15.72,30.26,88.0
24.27,16.66,4.7,16.01,34.15,163.0
26.54,17.24,1.99,18.24,28.04,99.0
26.96,17.1,1.92,14.6,28.95,106.0
25.83,16.9,2.01,11.02,29.73,83.0
26.47,17.03,1.68,11.13,20.59,82.0
27.97,17.3,1.75,12.8,22.13,107.0
27.86,17.24,1.47,9.81,20.26,86.0
26.89,16.89,1.61,11.61,24.66,88.0
28.78,17.02,2.16,12.2,24.13,148.0
31.49,15.04,1.54,14.18,19.44,79.0
32.09,14.96,1.39,12.68,18.16,82.0
29.23,15.72,1.32,11.18,23.09,79.0
30.94,15.18,1.84,12.36,22.54,128.0
29.62,14.0,1.03,9.85,22.76,77.0
29.73,12.96,1.0,11.55,20.48,74.0
30.34,10.69,0.96,8.44,22.81,70.0
31.63,10.45,2.1,11.12,22.77,116.0
35.42,10.47,0.82,12.1,34.03,77.0
27.32,10.48,2.93,10.2,32.15,197.0
27.69,10.76,2.95,10.36,30.29,214.0
39.77,11.93,1.72,12.19,26.91,121.0
31.65,10.81,1.31,11.9,19.27,84.0
39.97,10.01,1.74,10.22,15.36,131.0
41.94,10.75,2.19,12.38,19.24,153.0
65.79,9.7,1.79,12.36,47.29,171.0
86.4,10.03,1.02,16.69,52.35,165.0
61.69,10.08,1.89,12.7,41.98,176.0
44.26,10.47,4.41,11.8,31.31,224.0
42.71,10.73,1.89,14.96,33.91,154.0
46.97,11.77,2.76,11.92,22.96,188.0
42.17,10.78,1.77,12.23,22.74,135.0
47.0,12.94,0.81,12.86,21.73,84.0
49.45,15.21,1.14,12.05,31.57,107.0
46.7,13.7,0.65,13.31,32.14,89.0
33.87,10.87,2.18,12.95,30.89,136.0
33.0,11.79,1.18,12.52,28.49,94.0
36.3,12.98,1.2,10.55,32.23,82.0
36.51,12.68,1.37,10.6,25.16,86.0
37.71,12.52,1.72,9.32,23.29,107.0
35.73,12.94,2.62,11.37,21.22,165.0
36.27,13.16,1.88,11.1,25.34,150.0
122.16,21.5,2.61,10.78,23.67,203.0
90.73,22.21,2.08,10.14,26.13,263.0
63.96,22.35,1.75,9.37,23.01,196.0
48.79,15.46,1.61,13.63,24.94,156.0
34.96,14.19,1.75,9.58,31.38,147.0
37.55,13.58,1.05,8.24,20.22,109.0
31.54,12.4,2.02,7.93,18.08,121.0
37.74,12.9,1.14,6.07,17.91,83.0
41.27,14.19,7.62,7.1,19.12,241.0
47.68,13.2,1.6,9.12,24.82,133.0
81.26,20.88,3.21,7.26,20.24,238.0
44.79,12.53,1.64,5.03,28.69,175.0
50.98,12.27,1.28,8.34,56.16,136.0
46.79,12.05,0.98,8.23,57.43,130.0
54.0,13.79,0.88,9.78,59.47,128.0
52.65,11.71,1.1,8.2,60.46,136.0
55.75,12.9,0.91,6.93,47.37,125.0
52.29,10.92,1.04,9.78,44.29,113.0
41.39,9.93,2.56,8.92,42.18,195.0
44.08,10.76,2.6,8.96,50.33,174.0
41.44,11.73,1.34,10.96,61.39,142.0
41.96,13.78,1.34,8.85,44.1,122.0
41.8,13.77,2.03,8.37,39.61,135.0
43.18,15.87,1.81,6.42,27.51,128.0
44.74,23.81,4.34,6.37,32.31,204.0
53.31,18.91,1.55,7.08,43.44,132.0
38.73,16.0,1.71,6.04,50.61,154.0
23.46,13.02,1.91,5.22,56.36,119.0
76.42,13.89,1.17,7.75,92.04,117.0
53.36,15.85,1.4,6.6,64.95,183.0
44.5,15.41,1.27,5.01,43.68,100.0
51.11,14.79,1.38,3.91,64.42,106.0
55.76,14.72,1.2,2.98,69.77,132.0
49.55,13.89,1.09,3.53,58.57,122.0
31.49,12.65,1.62,5.31,65.97,105.0
30.89,12.88,1.48,3.37,70.3,133.0
36.51,13.25,1.38,4.9,58.16,98.0
30.69,11.68,1.52,4.21,32.87,98.0
28.66,9.19,1.34,4.45,28.91,89.0
33.37,8.59,1.16,4.83,42.39,87.0
29.11,7.91,1.81,5.28,48.21,126.0
27.08,7.74,1.24,4.81,50.22,90.0
25.63,8.34,1.29,6.64,43.05,93.0
35.35,8.2,1.19,4.21,48.89,96.0
36.82,8.01,0.99,4.03,65.25,107.0
36.96,8.11,1.2,5.08,53.11,103.0
44.41,8.91,1.3,5.82,57.22,112.0
29.55,7.53,1.22,4.82,61.76,113.0
31.97,7.9,1.23,4.7,56.35,99.0
28.82,7.8,1.33,4.67,49.71,103.0
32.64,7.94,1.78,4.2,43.19,161.0
52.16,5.88,1.12,1.97,35.62,85.0
48.08,6.79,1.23,4.0,32.87,107.0
40.81,6.05,1.54,3.34,34.14,121.0
40.96,6.76,1.28,2.65,36.71,100.0
46.17,5.56,1.49,2.63,36.39,108.0
78.83,7.55,1.34,2.85,36.2,97.0
138.07,8.62,1.23,4.44,45.23,130.0
54.85,8.39,1.36,3.41,36.62,113.0
42.45,7.61,1.29,3.99,44.62,106.0
46.16,7.64,1.15,5.37,22.53,102.0
48.64,7.96,1.35,4.69,34.27,129.0
44.78,8.38,1.39,3.82,30.28,130.0
39.11,8.47,1.58,3.01,20.24,114.0
42.67,19.41,1.45,3.55,29.24,117.0
65.01,18.15,1.56,1.62,27.77,103.0
56.1,16.39,1.76,1.49,36.75,150.0
50.32,17.56,0.79,1.95,59.97,104.0
63.0,20.86,0.94,1.74,12.16,106.0
59.47,22.32,0.81,2.0,12.69,108.0
71.81,12.18,0.76,2.2,23.4,111.0
81.74,9.86,1.77,2.11,39.39,165.0
62.63,12.09,6.75,2.5,37.11,211.0
65.1,16.1,3.66,4.28,13.33,241.0
57.23,15.14,0.54,2.0,21.97,114.0
52.27,16.46,0.71,3.5,25.77,100.0
44.87,12.75,0.74,3.33,31.84,63.0
63.67,21.07,1.17,2.71,18.99,132.0
67.49,19.92,0.72,3.1,24.3,136.0
52.94,10.48,2.34,2.82,17.02,184.0
69.88,25.36,0.89,3.91,19.24,120.0
66.89,21.05,0.88,3.91,14.33,162.0
62.27,20.35,1.04,3.71,17.26,119.0
51.56,20.34,0.77,3.83,23.03,113.0
58.27,22.24,1.09,3.17,20.26,119.0
63.13,25.19,0.96,4.38,19.69,129.0
80.23,21.76,2.73,4.91,30.64,220.0
39.74,13.02,0.61,3.44,29.13,139.0
49.21,12.83,1.49,2.46,40.45,130.0
55.73,10.86,0.67,2.95,32.4,121.0
58.28,12.01,0.8,3.52,33.07,114.0
56.47,12.34,0.8,6.44,28.81,115.0
60.04,11.52,2.97,3.42,33.98,200.0
55.45,11.1,2.63,2.84,33.05,167.0
65.26,11.46,0.79,3.97,21.75,172.0
53.07,11.09,0.54,4.1,34.52,117.0
51.32,8.8,2.49,3.51,57.19,198.0
46.84,12.73,2.11,3.65,34.98,153.0
46.29,18.21,0.68,3.26,30.61,142.0
42.49,18.3,1.38,3.39,32.57,144.0
47.11,13.56,1.46,3.52,26.99,145.0
50.13,13.23,1.11,3.45,22.2,149.0
53.58,15.06,6.18,3.35,22.59,186.0
76.91,12.11,1.68,4.1,30.36,216.0
107.65,14.47,1.45,4.07,21.67,220.0
69.9,15.9,1.65,4.33,26.83,209.0
112.72,15.66,1.47,3.51,22.93,251.0
81.79,12.72,0.77,6.57,26.09,191.0
127.03,13.25,1.08,5.94,28.65,203.0
70.57,13.74,0.64,6.41,20.8,183.0
79.55,12.07,0.67,5.4,20.9,162.0
76.36,9.92,0.58,5.1,22.66,154.0
92.83,12.68,0.83,3.53,24.37,181.0
98.75,12.5,1.09,3.3,25.94,223.0
82.03,14.24,1.65,3.09,28.54,193.0
85.64,16.69,1.7,3.44,29.62,157.0
76.72,12.56,1.14,2.53,22.99,173.0
57.58,11.15,1.42,2.77,19.11,133.0
65.38,11.74,1.43,2.56,17.51,109.0
80.38,12.43,1.57,2.38,19.19,160.0
68.45,8.8,1.64,2.32,31.74,145.0
73.22,13.11,1.45,4.02,27.19,134.0
79.01,15.12,1.46,2.77,38.48,170.0
83.44,13.42,1.42,8.68,59.12,179.0
62.16,10.03,1.91,2.38,54.63,156.0
41.54,10.28,1.67,4.9,55.5,130.0
67.25,15.63,1.4,7.42,40.72,106.0
44.41,13.03,1.27,2.95,52.03,96.0
47.25,10.99,1.48,3.17,50.4,99.0
35.75,8.13,1.43,3.79,28.91,80.0
51.79,11.31,1.44,3.02,17.04,88.0
32.96,10.8,1.87,2.64,31.71,108.0
52.25,9.13,2.03,2.31,41.56,114.0
90.02,12.13,1.54,4.74,39.73,153.0
69.55,10.84,1.42,13.03,41.66,196.0
47.78,9.44,1.48,2.3,39.99,132.0
67.25,12.58,1.35,2.39,42.39,117.0
62.62,12.49,1.44,4.48,48.38,143.0
62.87,10.21,1.41,4.67,55.16,142.0
56.24,9.88,1.37,4.05,47.29,135.0
60.92,12.17,1.01,3.0,46.66,120.0
81.03,11.06,1.2,4.87,40.93,158.0
80.44,10.22,0.97,2.84,18.31,186.0
66.08,8.99,0.83,2.56,15.38,155.0
65.08,11.65,0.76,2.53,17.59,136.0
57.73,8.73,0.7,2.44,21.32,131.0
74.65,7.78,0.85,2.59,23.41,135.0
76.68,8.14,1.07,6.8,21.72,193.0
81.93,8.79,0.78,3.0,24.71,188.0
86.31,10.7,0.97,3.41,20.46,187.0
87.07,9.98,1.62,2.88,19.61,214.0
100.61,11.24,1.23,2.7,18.18,216.0
98.47,8.57,1.23,2.22,24.29,221.0
123.36,11.41,1.23,2.36,22.18,251.0
69.38,18.52,1.02,3.35,28.48,179.0
68.25,10.38,0.93,3.54,20.14,143.0
64.05,11.13,0.82,4.04,20.81,132.0
59.46,10.97,0.79,3.67,21.8,123.0
64.1,5.2,0.69,3.35,23.17,125.0
63.03,7.26,0.65,3.15,33.42,134.0
46.09,8.79,0.84,4.09,30.0,121.0
51.43,8.2,0.97,3.99,19.84,114.0
53.32,7.83,0.79,4.42,19.58,114.0
55.51,7.36,0.67,4.16,22.65,113.0
64.92,7.16,0.84,3.88,19.22,128.0
65.84,5.4,2.02,3.58,19.93,216.0
63.65,5.76,0.81,3.97,20.87,132.0
67.33,7.21,0.77,4.08,19.9,137.0
68.04,9.32,1.1,3.9,21.71,140.0
70.13,10.91,1.29,3.68,24.49,151.0
64.37,14.68,1.12,3.39,23.19,144.0
56.54,6.9,0.84,3.1,15.53,128.0
54.83,7.41,0.6,3.23,31.04,117.0
61.1,7.96,0.61,3.18,42.09,132.0
61.34,11.1,0.66,3.33,44.35,141.0
56.23,17.24,0.62,3.2,37.1,125.0
59.15,18.86,0.68,3.54,48.46,130.0
55.65,12.33,0.61,3.21,59.44,129.0
54.15,12.57,0.65,4.31,45.28,122.0
56.37,12.29,0.74,4.84,29.27,122.0
54.71,12.81,0.67,3.12,32.01,123.0
55.5,13.47,0.69,3.26,26.98,113.0
56.62,15.05,0.61,3.15,25.79,127.0
60.73,16.53,0.86,3.2,23.39,134.0
51.55,13.44,1.02,3.63,35.06,123.0
51.96,13.52,0.9,4.71,44.55,129.0
60.21,11.49,0.93,4.13,46.92,133.0
65.26,11.83,0.69,3.66,54.93,134.0
61.78,13.51,0.94,3.46,42.23,130.0
57.7,11.26,0.77,3.47,28.18,122.0
56.99,15.37,0.76,3.41,27.37,120.0
51.73,18.17,1.09,3.49,23.58,120.0
48.7,17.65,0.96,3.49,29.76,124.0
65.21,17.26,2.0,3.96,33.3,169.0
89.6,16.96,0.89,5.03,54.2,212.0
58.58,16.06,1.02,5.34,47.31,147.0
54.16,15.93,1.05,5.27,38.81,123.0
55.79,15.74,1.0,5.1,34.5,127.0
57.2,13.99,0.78,4.96,32.6,125.0
64.95,13.29,1.0,4.78,41.1,129.0
56.02,14.38,0.99,4.95,42.11,139.0
53.3,13.8,1.01,4.63,32.45,123.0
52.04,13.85,1.15,4.84,24.26,122.0
61.37,15.13,1.1,4.61,22.41,135.0
59.24,14.66,1.16,4.49,31.62,136.0
58.43,18.69,1.23,4.43,53.25,144.0
68.42,16.17,1.24,4.58,53.29,161.0
62.47,13.86,1.24,4.44,48.37,166.0
55.77,12.38,2.1,4.1,51.8,183.0
58.8,13.77,1.15,3.89,58.35,136.0
81.06,20.11,1.15,4.65,38.9,171.0
65.17,25.13,1.28,4.74,27.97,164.0
48.59,21.24,1.37,3.58,41.45,113.0
45.05,25.57,1.24,4.01,55.65,91.0
51.6,16.03,1.15,4.65,52.65,94.0
51.67,16.22,0.95,4.58,56.21,95.0
51.11,20.41,0.98,5.18,41.93,93.0
50.24,19.87,1.09,4.3,51.11,91.0
45.89,18.13,1.15,5.11,48.96,102.0
48.61,18.15,2.55,3.78,41.27,112.0
51.67,18.0,1.67,3.71,49.56,117.0
50.64,17.49,1.84,3.96,55.38,115.0
44.88,15.77,1.49,3.89,59.45,124.0
43.41,10.44,1.48,4.09,48.16,97.0
57.32,12.13,1.42,3.48,61.61,120.0
43.52,11.38,1.94,4.53,58.74,122.0
41.29,10.64,1.86,4.86,40.93,122.0
32.64,15.81,2.17,4.07,33.41,92.0
44.73,13.57,2.64,3.67,36.19,94.0
41.29,13.78,2.13,5.04,28.24,102.0
45.76,11.62,1.92,4.48,33.51,100.0
43.38,9.81,1.81,4.05,49.08,100.0
38.93,8.44,2.08,3.32,47.71,89.0
42.3,15.62,1.49,3.08,37.87,89.0
32.8,11.31,1.47,4.76,31.72,83.0
40.78,12.82,0.92,3.72,22.67,70.0
50.94,10.78,0.71,4.1,27.66,71.0
60.36,13.17,0.82,3.5,28.09,86.0
42.8,22.99,1.42,2.59,15.69,100.0
109.5,17.81,1.08,7.29,9.94,88.0
45.6,15.08,1.1,5.13,10.94,161.0
47.91,10.99,1.23,5.13,19.56,81.0
30.43,11.59,0.99,5.88,22.09,81.0
96.65,15.97,1.22,8.02,14.71,86.0
196.81,16.33,1.16,9.24,11.26,271.0
29.09,13.53,1.06,3.8,16.99,162.0
29.34,13.49,1.43,3.55,4.46,91.0
57.26,18.17,1.37,3.23,10.57,104.0
28.3,15.79,0.93,3.05,11.86,103.0
35.38,13.72,1.03,2.41,16.17,74.0
22.97,14.02,2.15,2.17,10.79,129.0
23.24,15.75,0.97,2.34,28.11,58.0
24.87,14.94,0.85,3.32,27.45,69.0
18.67,16.61,0.98,5.0,15.02,66.0
26.6,14.83,0.96,3.53,39.34,70.0
34.33,15.03,0.85,3.92,35.13,69.0
35.16,12.35,0.83,3.58,36.1,70.0
31.69,12.95,0.86,4.06,25.9,71.0
32.43,16.81,3.09,5.57,8.82,125.0
33.09,16.36,1.13,4.3,8.77,87.0
27.02,19.78,1.63,5.5,7.23,59.0
29.69,12.64,0.94,4.08,7.8,62.0
59.34,7.48,0.96,6.88,36.62,54.0
24.43,7.59,1.22,2.36,24.2,78.0
42.82,11.82,1.31,2.92,38.65,87.0
28.51,13.16,1.26,2.19,15.84,81.0
34.01,14.56,1.22,2.36,9.82,82.0
32.41,14.19,1.12,2.44,1.8,84.0
32.88,17.12,1.08,2.34,9.89,75.0
34.8,19.48,1.16,5.49,10.5,78.0
40.39,14.77,6.35,4.04,11.18,151.0
32.44,14.82,1.22,4.39,8.23,100.0
30.54,15.71,2.72,4.48,12.45,131.0
32.54,16.27,1.16,6.76,12.18,68.0
37.71,11.22,1.08,4.08,20.14,70.0
40.69,11.54,2.15,3.7,16.91,89.0
40.85,14.07,2.83,3.41,19.75,174.0
35.23,13.99,3.22,4.43,17.86,178.0
33.51,14.2,3.33,3.39,21.82,155.0
29.11,13.67,0.14,3.71,26.59,55.0
30.94,11.38,2.37,4.31,22.72,169.0
29.48,10.37,1.07,3.71,16.29,124.0
25.42,10.18,3.27,4.42,9.59,256.0
35.09,14.66,1.28,3.82,13.97,126.0
34.2,15.89,1.05,4.58,16.96,125.0
55.88,10.79,0.79,4.05,32.5,111.0
39.96,10.7,0.26,3.83,38.19,129.0
36.33,7.08,0.02,5.09,44.87,83.0
26.4,6.75,1.21,6.07,58.95,199.0
40.36,8.62,0.05,4.49,44.53,74.0
40.21,10.09,0.76,4.38,49.73,139.0
37.07,10.49,1.52,4.46,46.6,167.0
26.7,11.22,1.21,5.12,20.89,142.0
38.63,13.13,1.02,4.93,17.15,90.0
32.14,12.66,0.95,5.16,10.76,188.0
33.02,10.42,1.08,5.04,18.76,126.0
38.11,10.74,3.65,5.04,17.52,172.0
37.79,12.86,2.84,5.18,18.33,244.0
28.6,15.15,1.44,4.53,15.76,189.0
30.82,11.49,2.64,4.37,27.96,160.0
42.16,13.37,2.34,4.76,24.39,215.0
36.8,12.5,1.61,4.8,17.04,126.0
31.97,19.62,2.08,4.62,22.33,227.0
23.6,13.82,0.98,6.12,11.94,172.0
38.5,14.8,2.94,5.45,23.45,266.0
36.26,18.66,3.17,4.13,22.59,257.0
42.37,15.42,1.03,4.94,36.09,141.0
38.87,15.96,3.01,3.97,48.12,228.0
43.96,17.99,0.61,3.64,26.37,171.0
36.26,20.14,0.22,3.62,18.27,73.0
41.33,21.63,0.79,3.7,8.2,120.0
44.76,23.06,0.16,4.01,13.01,77.0
33.01,27.52,1.13,3.82,16.61,92.0
26.79,22.55,9.15,2.38,15.46,228.0
24.54,19.16,2.59,2.0,18.47,224.0
34.16,20.6,5.56,1.85,10.14,260.0
26.59,17.15,8.2,1.56,14.31,240.0
23.76,16.71,8.68,1.49,18.08,372.0
22.2,34.72,11.03,1.4,7.23,437.0
16.18,36.8,6.02,1.31,7.9,449.0
12.79,26.79,8.05,1.36,15.27,434.0
18.98,24.09,0.03,1.82,16.67,118.0
18.35,18.64,0.09,4.42,38.43,30.0
24.87,18.02,0.05,7.21,36.73,54.0
33.32,17.58,0.07,2.51,39.31,94.0
31.93,19.07,0.04,2.09,46.34,66.0
45.71,17.82,0.04,2.27,50.13,70.0
40.61,18.28,0.11,2.78,35.26,77.0
38.14,17.9,0.17,2.9,33.94,70.0
35.96,17.62,0.03,2.27,52.92,94.0
34.06,20.15,0.08,2.74,23.06,73.0
29.14,28.6,0.1,1.93,35.81,78.0
60.14,28.53,0.11,2.87,43.57,85.0
51.01,28.5,0.19,2.57,32.88,118.0
36.09,28.48,0.05,2.35,46.76,73.0
38.46,28.53,0.0,2.47,39.59,66.0
44.91,28.53,0.03,1.98,31.28,79.0
32.16,28.53,0.02,2.64,28.41,66.0
45.11,28.54,0.02,2.55,49.57,75.0
81.45,28.53,0.06,2.1,49.08,131.0
60.89,28.46,0.06,16.0,63.32,180.0
62.96,28.47,0.01,3.07,55.5,124.0
60.19,28.48,0.03,2.14,58.43,125.0
66.69,28.46,0.45,2.29,61.2,197.0
78.52,28.42,0.13,4.36,69.64,167.0
63.07,28.5,0.08,26.16,72.0,187.0
80.58,28.56,0.03,4.66,8.36,130.0
73.75,28.44,0.26,13.26,79.47,170.0
80.18,28.49,0.21,11.65,65.42,183.0
87.04,28.5,0.15,13.75,63.2,208.0
81.0,28.49,0.21,19.65,61.0,200.0
85.73,28.51,0.34,19.95,52.22,187.0
92.64,26.51,0.27,20.69,49.15,202.0
98.0,13.5,0.1,5.46,62.24,215.0
132.38,17.75,1.44,14.2,50.72,370.0
114.08,12.53,0.2,7.4,52.28,298.0
67.86,12.52,0.11,4.77,25.71,168.0
49.57,15.05,0.02,4.68,10.23,130.0
52.28,16.64,0.12,7.14,10.94,87.0
47.86,16.53,0.12,3.04,4.38,80.0
35.54,24.26,0.15,2.59,7.28,75.0
57.22,15.53,0.13,3.73,20.63,87.0
66.29,14.44,0.14,4.27,44.96,110.0
80.11,15.08,0.14,4.24,51.61,177.0
71.86,14.88,0.06,2.29,32.83,133.0
80.49,15.49,0.02,5.78,42.53,166.0
83.26,17.31,0.02,7.74,53.12,160.0
71.16,15.26,0.0,6.87,60.63,165.0
76.21,13.7,0.02,3.43,56.87,148.0
82.67,15.23,0.0,9.39,41.55,164.0
42.54,13.79,0.02,1.67,27.37,117.0
29.08,22.4,0.0,1.48,5.6,57.0
34.55,23.17,0.0,1.5,5.94,49.0
55.67,26.7,0.0,2.26,33.85,81.0
66.57,26.41,0.0,1.87,72.89,113.0
62.58,29.62,0.0,5.8,54.3,109.0
71.55,30.81,0.0,5.66,56.87,135.0
58.21,30.99,0.02,6.52,43.66,113.0
63.87,29.83,0.02,4.95,38.81,110.0
83.29,30.5,0.0,3.0,46.65,132.0
88.08,31.32,0.07,6.04,56.6,200.0
91.49,34.32,0.41,10.34,44.08,199.0
93.71,32.16,0.08,8.1,59.17,224.0
82.55,33.89,0.19,3.95,40.86,195.0
101.77,33.63,0.16,4.6,51.78,216.0
92.41,33.46,0.08,3.64,38.11,216.0
91.15,31.0,0.02,4.13,29.57,210.0
94.8,30.87,0.02,3.05,43.63,200.0
74.73,27.91,0.04,2.65,41.61,188.0
43.52,25.73,0.03,2.36,25.3,97.0
27.93,29.57,0.23,2.29,10.34,69.0
45.98,27.02,0.06,2.42,4.59,81.0
45.48,26.49,0.12,2.37,31.59,68.0
54.12,22.87,0.07,3.32,49.83,101.0
48.91,27.47,0.02,2.86,19.72,78.0
59.74,32.39,0.12,2.74,23.28,94.0
80.55,36.42,0.13,3.49,34.87,134.0
84.69,33.14,0.12,9.78,59.52,182.0
77.14,22.48,0.03,7.25,62.12,175.0
51.17,5.5,0.07,2.49,46.57,107.0
84.04,23.72,0.25,9.19,21.42,174.0
44.56,15.04,0.18,5.8,19.33,118.0
40.9,15.23,0.17,5.64,15.18,64.0
42.31,15.52,0.19,8.66,17.92,74.0
41.5,15.71,0.13,10.39,19.77,68.0
72.86,17.11,0.0,10.44,29.9,104.0
82.48,16.63,0.0,5.14,34.23,171.0
58.09,13.26,0.01,2.81,56.37,135.0
50.17,13.73,0.07,2.92,82.71,110.0
44.1,16.07,0.0,5.82,61.87,105.0
293.43,14.74,0.0,3.48,30.96,332.0
55.2,13.75,0.03,7.82,41.83,244.0
169.75,14.92,0.0,2.92,31.82,246.0
144.02,15.81,0.04,3.24,29.88,360.0
69.97,13.38,0.1,2.81,46.92,146.0
55.97,9.54,0.01,4.56,48.59,103.0
62.53,12.92,0.0,3.21,47.77,103.0
80.76,16.2,0.0,5.18,49.91,137.0
55.43,14.99,0.12,4.73,37.5,142.0
50.27,14.4,0.12,2.01,43.31,76.0
64.06,13.88,0.0,5.13,36.56,107.0
36.85,14.24,0.0,2.54,46.12,86.0
57.05,14.83,0.0,4.99,49.79,78.0
73.27,15.47,0.0,14.79,48.57,117.0
56.51,15.95,0.1,5.13,54.72,125.0
66.54,13.26,0.0,2.74,68.4,111.0
43.6,11.25,0.0,2.79,48.16,104.0
36.16,10.03,0.0,1.78,15.93,68.0
21.64,8.15,0.0,1.76,11.14,44.0
36.77,11.8,0.0,2.08,9.38,51.0
38.73,11.02,0.0,3.18,18.32,58.0
100.68,9.77,0.01,2.52,39.08,70.0
45.13,15.97,0.04,4.57,28.68,130.0
52.59,16.78,0.1,2.89,28.39,89.0
50.38,17.14,0.16,3.39,27.27,81.0
67.15,16.29,0.03,3.89,39.87,105.0
77.17,14.91,0.05,4.05,39.5,149.0
72.94,17.57,0.02,4.3,36.86,148.0
83.86,19.87,0.04,5.84,46.22,166.0
80.59,20.01,0.03,3.62,37.86,183.0
91.75,18.12,0.0,3.88,43.21,183.0
89.0,18.46,0.0,4.36,37.69,217.0
84.05,16.24,0.0,4.06,29.51,186.0
56.6,11.82,0.06,3.51,39.34,126.0
54.94,13.42,0.17,3.6,23.36,89.0
45.2,11.63,0.3,2.15,46.81,80.0
63.51,14.78,0.22,3.45,43.83,95.0
63.42,14.29,0.09,2.54,63.2,125.0
77.03,14.45,0.03,2.97,62.53,141.0
71.15,18.02,0.0,2.84,40.78,151.0
71.72,15.74,0.0,4.2,37.49,142.0
50.86,13.46,0.03,2.6,36.87,116.0
51.46,12.75,0.01,3.32,33.87,88.0
56.59,12.53,0.0,3.97,25.89,92.0
42.42,12.56,0.07,3.83,20.3,76.0
45.27,14.29,0.0,4.05,14.13,80.0
37.91,12.73,0.04,4.08,18.29,69.0
44.1,9.6,0.0,4.42,18.06,65.0
59.53,6.09,0.01,4.48,19.94,90.0
65.96,9.97,0.23,6.25,27.15,108.0
82.44,17.92,0.27,7.02,54.36,157.0
72.86,19.0,0.13,6.2,35.08,152.0
63.96,18.78,0.13,6.28,41.66,123.0
40.43,15.6,0.03,2.49,11.6,93.0
34.07,14.71,0.0,2.58,13.06,52.0
36.92,15.3,0.02,2.13,12.59,59.0
36.88,14.1,0.0,2.17,9.91,65.0
62.57,10.28,0.0,2.05,9.11,78.0
31.34,7.39,0.03,1.92,6.85,93.0
227.17,8.0,0.0,2.19,13.3,148.0
62.95,9.71,0.0,3.08,31.65,348.0
33.53,8.75,0.0,2.53,28.07,63.0
23.54,9.82,0.0,3.12,23.97,52.0
29.17,8.27,0.03,3.18,16.7,43.0
53.27,8.95,0.01,2.9,10.8,80.0
286.08,10.59,0.0,2.49,13.35,350.0
